iter	Logloss	Accuracy
0	0.6810041906	0.8501362398
1	0.6722786067	0.8419618529
2	0.6628389986	0.840599455
3	0.6515949871	0.8392370572
4	0.6422912738	0.8378746594
5	0.6332265266	0.840599455
6	0.6229128213	0.840599455
7	0.6125436096	0.8419618529
8	0.6022923297	0.8433242507
9	0.5941500729	0.8460490463
10	0.5871626545	0.8419618529
11	0.5794586064	0.8419618529
12	0.5722176628	0.8419618529
13	0.5658335514	0.840599455
14	0.5586528196	0.8419618529
15	0.551189842	0.8433242507
16	0.5430327212	0.8446866485
17	0.5348703206	0.8474114441
18	0.5278383086	0.848773842
19	0.5222739746	0.848773842
20	0.5161228097	0.848773842
21	0.5107137537	0.848773842
22	0.5035984029	0.848773842
23	0.4975820215	0.848773842
24	0.4921036861	0.8501362398
25	0.4874162113	0.8501362398
26	0.4827877968	0.8501362398
27	0.477516061	0.848773842
28	0.4735002086	0.848773842
29	0.4667054499	0.848773842
30	0.4616655641	0.8514986376
31	0.4578484695	0.8514986376
32	0.4525744576	0.8514986376
33	0.448558545	0.8514986376
34	0.4443235985	0.8514986376
35	0.4393873075	0.8528610354
36	0.4347615338	0.8528610354
37	0.4319051599	0.8528610354
38	0.4276162687	0.8555858311
39	0.4235531103	0.8555858311
40	0.4196285087	0.8555858311
41	0.4174854	0.8555858311
42	0.414391243	0.8555858311
43	0.4109957083	0.8555858311
44	0.4089030741	0.8555858311
45	0.4067801161	0.8555858311
46	0.4048641733	0.8555858311
47	0.4016206366	0.8569482289
48	0.3978875616	0.8555858311
49	0.3951442538	0.8555858311
50	0.3926393735	0.8555858311
51	0.3905078139	0.8555858311
52	0.387979801	0.8542234332
53	0.3864400486	0.8542234332
54	0.3838799361	0.8542234332
55	0.3822024116	0.8542234332
56	0.380599728	0.8542234332
57	0.3787380052	0.8542234332
58	0.3772171847	0.8542234332
59	0.3754058616	0.8542234332
60	0.3735974671	0.8542234332
61	0.3718000631	0.8542234332
62	0.3692722791	0.8542234332
63	0.3678307177	0.8542234332
64	0.3656409284	0.8542234332
65	0.3630864027	0.8542234332
66	0.3604405827	0.8542234332
67	0.3589554836	0.8555858311
68	0.3568410794	0.8555858311
69	0.3543154705	0.8569482289
70	0.3531386289	0.8569482289
71	0.3513745506	0.8569482289
72	0.3496854046	0.8569482289
73	0.3479278054	0.8583106267
74	0.3465579129	0.8583106267
75	0.3444314471	0.8583106267
76	0.3430451139	0.8583106267
77	0.3415555284	0.8583106267
78	0.3396289631	0.8583106267
79	0.338136547	0.8583106267
80	0.3361513233	0.8610354223
81	0.335268047	0.8623978202
82	0.3340780227	0.8623978202
83	0.3330580648	0.8623978202
84	0.331679951	0.8623978202
85	0.3302513456	0.863760218
86	0.3288302275	0.863760218
87	0.3274196215	0.863760218
88	0.3263073815	0.863760218
89	0.3248088143	0.8664850136
90	0.3239131882	0.8664850136
91	0.3227160295	0.8664850136
92	0.3212953383	0.8664850136
93	0.3200490704	0.8678474114
94	0.3187493174	0.8678474114
95	0.317550116	0.8719346049
