iter	Passed	Remaining
0	30	29987
1	53	26658
2	67	22448
3	91	22872
4	111	22209
5	135	22402
6	161	22904
7	188	23361
8	215	23741
9	241	23919
10	269	24261
11	294	24284
12	317	24137
13	342	24129
14	361	23717
15	387	23844
16	413	23912
17	438	23913
18	462	23895
19	486	23824
20	511	23826
21	538	23950
22	565	24029
23	593	24146
24	622	24283
25	649	24325
26	678	24444
27	704	24450
28	732	24521
29	758	24509
30	783	24488
31	807	24441
32	837	24532
33	860	24436
34	884	24379
35	913	24456
36	940	24472
37	965	24451
38	990	24396
39	1015	24373
40	1040	24347
41	1064	24290
42	1083	24120
43	1109	24111
44	1129	23965
45	1152	23900
46	1179	23914
47	1203	23872
48	1228	23843
49	1249	23749
50	1273	23688
51	1298	23666
52	1323	23656
53	1345	23578
54	1371	23570
55	1396	23537
56	1418	23467
57	1440	23398
58	1465	23371
59	1488	23324
60	1514	23305
61	1537	23256
62	1564	23273
63	1586	23204
64	1609	23145
65	1632	23095
66	1659	23108
67	1682	23066
68	1706	23018
69	1732	23021
70	1760	23029
71	1782	22972
72	1805	22922
73	1827	22863
74	1854	22872
75	1876	22816
76	1900	22785
77	1925	22759
78	1952	22757
79	1978	22750
80	2003	22731
81	2029	22722
82	2052	22678
83	2076	22644
84	2100	22611
85	2123	22565
86	2147	22537
87	2170	22496
88	2192	22443
89	2217	22419
90	2240	22379
91	2264	22345
92	2291	22349
93	2322	22386
94	2348	22376
95	2375	22373
96	2406	22400
97	2430	22371
98	2457	22364
99	2485	22373
100	2510	22348
101	2546	22419
102	2574	22421
103	2601	22409
104	2626	22388
105	2654	22391
106	2678	22353
107	2699	22298
108	2720	22234
109	2742	22190
110	2764	22140
111	2788	22108
112	2812	22077
113	2838	22061
114	2864	22044
115	2887	22005
116	2914	21999
117	2938	21964
118	2964	21949
119	2983	21881
120	3010	21871
121	3034	21840
122	3060	21819
123	3084	21789
124	3107	21751
125	3129	21708
126	3153	21676
127	3182	21681
128	3206	21652
129	3229	21609
130	3255	21592
131	3278	21558
132	3300	21517
133	3318	21446
134	3344	21428
135	3371	21417
136	3397	21403
137	3424	21390
138	3448	21362
139	3472	21328
140	3494	21291
141	3521	21275
142	3550	21276
143	3573	21244
144	3598	21220
145	3623	21193
146	3649	21178
147	3666	21107
148	3688	21068
149	3716	21060
150	3738	21021
151	3765	21004
152	3789	20977
153	3817	20972
154	3836	20917
155	3859	20882
156	3878	20826
157	3907	20821
158	3930	20792
159	3955	20764
160	3980	20741
161	3997	20677
162	4014	20616
163	4035	20570
164	4055	20524
165	4079	20495
166	4108	20492
167	4133	20472
168	4159	20454
169	4185	20435
170	4209	20409
171	4232	20377
172	4253	20332
173	4277	20305
174	4301	20278
175	4327	20260
176	4348	20217
177	4371	20187
178	4394	20154
179	4413	20105
180	4437	20078
181	4466	20075
182	4490	20048
183	4513	20018
184	4536	19986
185	4563	19970
186	4588	19947
187	4610	19913
188	4632	19879
189	4659	19865
190	4682	19833
191	4708	19814
192	4732	19789
193	4759	19772
194	4782	19743
195	4804	19708
196	4826	19674
197	4856	19670
198	4880	19643
199	4902	19611
200	4927	19585
201	4952	19564
202	4975	19532
203	4997	19499
204	5024	19484
205	5042	19436
206	5056	19371
207	5080	19343
208	5103	19314
209	5127	19290
210	5150	19258
211	5172	19226
212	5194	19192
213	5219	19170
214	5242	19139
215	5269	19125
216	5293	19101
217	5318	19076
218	5343	19057
219	5372	19046
220	5397	19026
221	5426	19017
222	5439	18954
223	5464	18929
224	5489	18907
225	5512	18879
226	5539	18862
227	5560	18829
228	5582	18796
229	5612	18788
230	5637	18765
231	5665	18753
232	5687	18722
233	5714	18705
234	5739	18683
235	5761	18653
236	5786	18629
237	5811	18606
238	5835	18580
239	5862	18563
240	5885	18536
241	5911	18515
242	5933	18484
243	5955	18452
244	5981	18433
245	6009	18420
246	6032	18391
247	6055	18363
248	6084	18351
249	6112	18338
250	6136	18311
251	6162	18291
252	6188	18270
253	6213	18248
254	6241	18233
255	6267	18215
256	6292	18192
257	6313	18157
258	6331	18115
259	6359	18100
260	6385	18078
261	6411	18059
262	6436	18036
263	6459	18007
264	6481	17978
265	6505	17950
266	6532	17933
267	6556	17909
268	6580	17881
269	6608	17866
270	6633	17844
271	6657	17818
272	6679	17787
273	6705	17766
274	6729	17741
275	6754	17717
276	6778	17693
277	6799	17658
278	6826	17642
279	6849	17612
280	6872	17584
281	6897	17560
282	6922	17539
283	6949	17520
284	6974	17497
285	6998	17471
286	7024	17450
287	7046	17419
288	7067	17388
289	7091	17360
290	7117	17340
291	7139	17311
292	7164	17287
293	7188	17263
294	7211	17235
295	7234	17207
296	7260	17186
297	7287	17167
298	7312	17143
299	7340	17126
300	7366	17107
301	7393	17087
302	7415	17057
303	7432	17015
304	7455	16989
305	7482	16969
306	7505	16943
307	7529	16916
308	7557	16900
309	7578	16867
310	7600	16838
311	7624	16812
312	7647	16785
313	7670	16758
314	7693	16730
315	7719	16709
316	7742	16682
317	7765	16654
318	7787	16624
319	7811	16599
320	7832	16567
321	7861	16552
322	7886	16530
323	7913	16509
324	7937	16485
325	7959	16456
326	7981	16427
327	8005	16401
328	8032	16383
329	8055	16355
330	8080	16331
331	8103	16305
332	8128	16280
333	8150	16252
334	8172	16222
335	8197	16200
336	8223	16178
337	8245	16149
338	8268	16123
339	8289	16090
340	8315	16069
341	8337	16041
342	8360	16013
343	8388	15996
344	8410	15967
345	8436	15945
346	8461	15923
347	8487	15901
348	8510	15875
349	8530	15842
350	8554	15817
351	8578	15791
352	8600	15763
353	8623	15736
354	8649	15714
355	8672	15688
356	8698	15667
357	8720	15639
358	8742	15610
359	8766	15585
360	8794	15566
361	8816	15538
362	8841	15514
363	8861	15483
364	8885	15457
365	8907	15430
366	8929	15401
367	8953	15376
368	8978	15354
369	9002	15328
370	9026	15303
371	9052	15281
372	9075	15255
373	9098	15228
374	9120	15201
375	9145	15178
376	9170	15153
377	9194	15130
378	9219	15106
379	9244	15082
380	9272	15064
381	9294	15035
382	9316	15009
383	9343	14988
384	9367	14963
385	9389	14936
386	9415	14913
387	9439	14888
388	9463	14863
389	9485	14835
390	9507	14808
391	9531	14784
392	9555	14757
393	9573	14724
394	9599	14702
395	9620	14673
396	9644	14649
397	9670	14626
398	9700	14611
399	9736	14604
400	9761	14581
401	9789	14562
402	9826	14556
403	9856	14540
404	9889	14529
405	9925	14521
406	9955	14505
407	9981	14482
408	10011	14466
409	10036	14443
410	10061	14419
411	10087	14396
412	10121	14385
413	10148	14365
414	10174	14342
415	10205	14327
416	10229	14302
417	10252	14275
418	10274	14247
419	10302	14227
420	10328	14204
421	10355	14183
422	10382	14162
423	10408	14140
424	10439	14123
425	10459	14093
426	10488	14074
427	10513	14050
428	10547	14039
429	10577	14021
430	10602	13997
431	10629	13975
432	10653	13950
433	10681	13929
434	10717	13920
435	10744	13899
436	10771	13877
437	10797	13854
438	10831	13841
439	10886	13855
440	10922	13845
441	10954	13829
442	10984	13811
443	11011	13789
444	11035	13763
445	11061	13739
446	11084	13712
447	11109	13688
448	11137	13667
449	11163	13643
450	11188	13620
451	11211	13592
452	11234	13565
453	11259	13540
454	11281	13512
455	11306	13488
456	11330	13462
457	11354	13436
458	11375	13408
459	11400	13382
460	11419	13351
461	11444	13327
462	11466	13299
463	11494	13278
464	11522	13257
465	11546	13231
466	11570	13205
467	11621	13210
468	11648	13188
469	11673	13164
470	11697	13137
471	11719	13109
472	11742	13082
473	11760	13050
474	11789	13030
475	11813	13004
476	11839	12980
477	11865	12957
478	11893	12936
479	11919	12912
480	11943	12886
481	11964	12857
482	11992	12836
483	12018	12813
484	12045	12790
485	12069	12765
486	12095	12740
487	12122	12718
488	12147	12694
489	12172	12669
490	12203	12650
491	12228	12626
492	12252	12600
493	12284	12583
494	12309	12558
495	12339	12538
496	12365	12514
497	12388	12488
498	12415	12465
499	12441	12441
500	12466	12417
501	12492	12393
502	12515	12366
503	12539	12340
504	12565	12316
505	12590	12292
506	12618	12270
507	12647	12248
508	12671	12223
509	12698	12200
510	12725	12177
511	12749	12152
512	12774	12127
513	12800	12103
514	12826	12079
515	12851	12054
516	12876	12029
517	12901	12005
518	12932	11985
519	12959	11962
520	12987	11940
